FILE;STEP;ORIGEN;;;OUTPUT;;;COLUMNS;;;;TRANSFORMATIONS;;?
text.sas;;ESQUEMA;NAME;ALIAS;ESQUEMA;NAME;ALIAS;ALIAS;ALIAS ORIGEN;T.ORIGEN;DATO/CALCULO;FILTRO;GROUP;ORDER
text.sas;1;oraggcom;canvi_oficial;AUXILIAR;WORK;tipos_cambio;undefined;*;undefined;canvi_oficial;*;where data_cre='31dec2018:0:0:0'dt and DIVISA='GBP' ;;;
text.sas;1;oraggcom;canvi_oficial;AUXILIAR;WORK;tipos_cambio;undefined;CAT;undefined;canvi_oficial;'3281';where data_cre='31dec2018:0:0:0'dt and DIVISA='GBP' ;;;
text.sas;2;bsco_4;PLANTILLA_3281;undefined;WORK;TEST_3281;undefined;TEMPLATE;undefined;PLANTILLA_3281;TEMPLATE;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;2;bsco_4;PLANTILLA_3281;undefined;WORK;TEST_3281;undefined;DATA_EXTRA;undefined;PLANTILLA_3281;DATA_EXTRA;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;2;bsco_4;PLANTILLA_3281;undefined;WORK;TEST_3281;undefined;ROW;undefined;PLANTILLA_3281;ROW;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;2;bsco_4;PLANTILLA_3281;undefined;WORK;TEST_3281;undefined;C:;undefined;PLANTILLA_3281;C:;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;3;WORK;TEST_3281;AUXILIAR;WORK;TEST2_3281;undefined;*;undefined;TEST_3281;*;;;
text.sas;3;WORK;TEST_3281;AUXILIAR;WORK;TEST2_3281;undefined;C_PDxEAD;undefined;TEST_3281;C010*C110*100;;;
text.sas;3;WORK;TEST_3281;AUXILIAR;WORK;TEST2_3281;undefined;C_LGDxEAD;undefined;TEST_3281;C230*(C110-C140)*100;;;
text.sas;3;WORK;TEST_3281;AUXILIAR;WORK;TEST2_3281;undefined;C_LGDEFxEAD;undefined;TEST_3281;C240*C140*100;;;
text.sas;3;WORK;TEST_3281;AUXILIAR;WORK;TEST2_3281;undefined;C_MxEAD;undefined;TEST_3281;C250*C110;;;
text.sas;4;WORK;TEST2_3281;undefined;WORK;TEST3_3281;undefined;NO;COLUMNS;DEFINED;;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;5;WORK;TEST3_3281;AUXILIAR;WORK;CAMBIO_MILES;undefined;AUXILIAR.template;AUXILIAR;TEST3_3281;template;;;
text.sas;5;WORK;TEST3_3281;AUXILIAR;WORK;CAMBIO_MILES;undefined;AUXILIAR.data_extra;AUXILIAR;TEST3_3281;data_extra;;;
text.sas;5;WORK;TEST3_3281;AUXILIAR;WORK;CAMBIO_MILES;undefined;AUXILIAR.row;AUXILIAR;TEST3_3281;row;;;
text.sas;5;WORK;TEST3_3281;AUXILIAR;WORK;CAMBIO_MILES;undefined;AUXILIAR.COL;AUXILIAR;TEST3_3281;COL;;;
text.sas;5;WORK;TEST3_3281;AUXILIAR;WORK;CAMBIO_MILES;undefined;IMPORTE;AUXILIAR;TEST3_3281;COL1;;;
text.sas;5;WORK;TEST3_3281;AUXILIAR;WORK;CAMBIO_MILES;undefined;TIPO_CAMBIO;AUXILIAR2;TIPOS_CAMBIO;CANV_FIT*1000;;;
text.sas;5;WORK;TIPOS_CAMBIO;AUXILIAR2;WORK;CAMBIO_MILES;undefined;AUXILIAR.template;AUXILIAR;TEST3_3281;template;;;
text.sas;5;WORK;TIPOS_CAMBIO;AUXILIAR2;WORK;CAMBIO_MILES;undefined;AUXILIAR.data_extra;AUXILIAR;TEST3_3281;data_extra;;;
text.sas;5;WORK;TIPOS_CAMBIO;AUXILIAR2;WORK;CAMBIO_MILES;undefined;AUXILIAR.row;AUXILIAR;TEST3_3281;row;;;
text.sas;5;WORK;TIPOS_CAMBIO;AUXILIAR2;WORK;CAMBIO_MILES;undefined;AUXILIAR.COL;AUXILIAR;TEST3_3281;COL;;;
text.sas;5;WORK;TIPOS_CAMBIO;AUXILIAR2;WORK;CAMBIO_MILES;undefined;IMPORTE;AUXILIAR;TEST3_3281;COL1;;;
text.sas;5;WORK;TIPOS_CAMBIO;AUXILIAR2;WORK;CAMBIO_MILES;undefined;TIPO_CAMBIO;AUXILIAR2;TIPOS_CAMBIO;CANV_FIT*1000;;;
text.sas;6;WORK;CAMBIO_MILES;AUXILIAR;WORK;CAMBIO_3281;undefined;AUXILIAR.template;AUXILIAR;CAMBIO_MILES;template;WHERE AUXILIAR.IMPORTE NOT=0 ;;;
text.sas;6;WORK;CAMBIO_MILES;AUXILIAR;WORK;CAMBIO_3281;undefined;AUXILIAR.data_extra;AUXILIAR;CAMBIO_MILES;data_extra;WHERE AUXILIAR.IMPORTE NOT=0 ;;;
text.sas;6;WORK;CAMBIO_MILES;AUXILIAR;WORK;CAMBIO_3281;undefined;AUXILIAR.row;AUXILIAR;CAMBIO_MILES;row;WHERE AUXILIAR.IMPORTE NOT=0 ;;;
text.sas;6;WORK;CAMBIO_MILES;AUXILIAR;WORK;CAMBIO_3281;undefined;AUXILIAR.COL;AUXILIAR;CAMBIO_MILES;COL;WHERE AUXILIAR.IMPORTE NOT=0 ;;;
text.sas;6;WORK;CAMBIO_MILES;AUXILIAR;WORK;CAMBIO_3281;undefined;AUXILIAR.IMPORTE;AUXILIAR;CAMBIO_MILES;IMPORTE;WHERE AUXILIAR.IMPORTE NOT=0 ;;;
text.sas;6;WORK;CAMBIO_MILES;AUXILIAR;WORK;CAMBIO_3281;undefined;IMPORTE_mEUR;undefined;CAMBIO_MILES;case when COL IN ('C010','C230','C240','C250','C300') then IMPORTE else IMPORTE/TIPO_CAMBIO end ;WHERE AUXILIAR.IMPORTE NOT=0 ;;;
text.sas;7;WORK;CAMBIO_3281;t1;WORK;TABLA_3281_TSB;undefined;COREP;t1;CAMBIO_3281;template;;;
text.sas;7;WORK;CAMBIO_3281;t1;WORK;TABLA_3281_TSB;undefined;CATEGO;t1;CAMBIO_3281;data_extra;;;
text.sas;7;WORK;CAMBIO_3281;t1;WORK;TABLA_3281_TSB;undefined;t1.ROW;t1;CAMBIO_3281;ROW;;;
text.sas;7;WORK;CAMBIO_3281;t1;WORK;TABLA_3281_TSB;undefined;t1.COL;t1;CAMBIO_3281;COL;;;
text.sas;7;WORK;CAMBIO_3281;t1;WORK;TABLA_3281_TSB;undefined;IMPORTE;t1;CAMBIO_3281;IMPORTE_mEUR;;;
text.sas;8;WORK;TABLA_3281_TSB;t1;WORK;TABLA_3281_VUELTA_TSB;undefined;template;t1;TABLA_3281_TSB;COREP;;;
text.sas;8;WORK;TABLA_3281_TSB;t1;WORK;TABLA_3281_VUELTA_TSB;undefined;data_extra;t1;TABLA_3281_TSB;CATEGO;;;
text.sas;8;WORK;TABLA_3281_TSB;t1;WORK;TABLA_3281_VUELTA_TSB;undefined;t1.ROW;t1;TABLA_3281_TSB;ROW;;;
text.sas;8;WORK;TABLA_3281_TSB;t1;WORK;TABLA_3281_VUELTA_TSB;undefined;t1.COL;t1;TABLA_3281_TSB;COL;;;
text.sas;8;WORK;TABLA_3281_TSB;t1;WORK;TABLA_3281_VUELTA_TSB;undefined;COL1;t1;TABLA_3281_TSB;IMPORTE;;;
text.sas;9;WORK;TABLA_3281_VUELTA_TSB;undefined;WORK;TEST1_TABLA3281_VUELTA_TSB;undefined;TEMPLATE;undefined;TABLA_3281_VUELTA_TSB;TEMPLATE;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;9;WORK;TABLA_3281_VUELTA_TSB;undefined;WORK;TEST1_TABLA3281_VUELTA_TSB;undefined;DATA_EXTRA;undefined;TABLA_3281_VUELTA_TSB;DATA_EXTRA;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;9;WORK;TABLA_3281_VUELTA_TSB;undefined;WORK;TEST1_TABLA3281_VUELTA_TSB;undefined;ROW;undefined;TABLA_3281_VUELTA_TSB;ROW;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;9;WORK;TABLA_3281_VUELTA_TSB;undefined;WORK;TEST1_TABLA3281_VUELTA_TSB;undefined;C:;undefined;TABLA_3281_VUELTA_TSB;C:;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;10;WORK;TEST1_TABLA3281_VUELTA_TSB;undefined;WORK;TEST2_TABLA3281_VUELTA_TSB;undefined;NO;COLUMNS;DEFINED;;;;BY TEMPLATE DATA_EXTRA ROW
text.sas;11;bsco_4;ECO_CP_CONS;t1;WORK;ECO1;undefined;'COREP'n;undefined;ECO_CP_CONS;when SUBSTR F1,1,4='3207' then '3207' when SUBSTR F1,1,4='3281' then '3281' when SUBSTR F1,1,4='3282' then '3282' when SUBSTR F1,1,4='3291' then '3291' when SUBSTR F1,1,4='3292' then '3292' when SUBSTR F1,1,4='3294' then '3294' else 'ERRO' end;;;
text.sas;11;bsco_4;ECO_CP_CONS;t1;WORK;ECO1;undefined;t1.F1;t1;ECO_CP_CONS;F1;;;
text.sas;12;WORK;ECO1;t1;WORK;ECO2;undefined;t1.COREP;t1;ECO1;COREP;;;
text.sas;12;WORK;ECO1;t1;WORK;ECO2;undefined;t1.F1;t1;ECO1;F1;;;
text.sas;12;WORK;ECO1;t1;WORK;ECO2;undefined;CATEGO;undefined;ECO1; when COREP='3207' then SUBSTR F1,5,4 when COREP IN '3281','3282' then SUBSTR F1,5,3 when COREP IN '3291','3292','3294' then SUBSTR F1,5,2 else '' end FORMAT=$CHAR4. ;;;
text.sas;12;WORK;ECO1;t1;WORK;ECO2;undefined;CELDA;undefined;ECO1; COREP='3207' then SUBSTR F1,5,4 when COREP IN '3281','3282' then SUBSTR F1,5,3 when COREP IN '3291','3292','3294' then SUBSTR F1,5,2 else '' end FORMAT=$CHAR4.  case when COREP='3207' then SUBSTR F1,125,4 when COREP IN '3281' then SUBSTR F1,125,4 when COREP IN '3291','3292','3294' then SUBSTR F1,125,4 else '' end FORMAT=$CHAR4. ;;;
text.sas;12;WORK;ECO1;t1;WORK;ECO2;undefined;IMPORTE;undefined;ECO1;case when COREP='3207' then TRANWRDSUBSTR F1,129,18,",","." when COREP IN '3281','3282' then TRANWRDSUBSTRF1,129,18,",","." when COREP IN '3291','3292','3294' then TRANWRDSUBSTR F1,129,18,",","." else '' end,BEST18.*case when SUBSTR F1,147,1='-' then -1 else 1 end;;;
text.sas;12;WORK;ECO1;t1;WORK;ECO2;undefined;SIGNO;undefined;ECO1;when SUBSTR F1,147,1='-' then -1 else 1 end;;;
text.sas;12;WORK;ECO1;t1;WORK;ECO2;undefined;COL;undefined;ECO1;P='3207' then SUBSTR F1,5,4 when COREP IN '3281','3282' then SUBSTR F1,5,3 when COREP IN '3291','3292','3294' then SUBSTR F1,5,2 else '' end FORMAT=$CHAR4.  case when COREP='3207' then SUBSTR F1,125,4 when COREP IN '3281' then SUBSTR F1,125,4 when COREP IN '3291','3292','3294' then SUBSTR F1,125,4 else '' end FORMAT=$CHAR4.  case when COREP IN '3282' then 'C'||SUBSTR F1,126,3 else '' end FORMAT=$CHAR12. ;;;
text.sas;12;WORK;ECO1;t1;WORK;ECO2;undefined;TRAMO_PD;undefined;ECO1;when COREP IN '3282' then inputSUBSTR F1,45,4,comma32. else 0 end;;;
text.sas;13;WORK;ECO2;t1;WORK;COR3281_1;undefined;t1.COREP;t1;ECO2;COREP;WHERE t1.COREP='3281' ;;;
text.sas;13;WORK;ECO2;t1;WORK;COR3281_1;undefined;t1.F1;t1;ECO2;F1;WHERE t1.COREP='3281' ;;;
text.sas;13;WORK;ECO2;t1;WORK;COR3281_1;undefined;t1.CATEGO;t1;ECO2;CATEGO;WHERE t1.COREP='3281' ;;;
text.sas;13;WORK;ECO2;t1;WORK;COR3281_1;undefined;t1.CELDA;t1;ECO2;CELDA;WHERE t1.COREP='3281' ;;;
text.sas;13;WORK;ECO2;t1;WORK;COR3281_1;undefined;IMPORTE;undefined;ECO2; case when t1.IMPORTE=. then 0 else t1.IMPORTE end ;WHERE t1.COREP='3281' ;;;
text.sas;13;WORK;ECO2;t1;WORK;COR3281_1;undefined;t1.COL;t1;ECO2;COL;WHERE t1.COREP='3281' ;;;
text.sas;13;WORK;ECO2;t1;WORK;COR3281_1;undefined;t1.TRAMO_PD;t1;ECO2;TRAMO_PD;WHERE t1.COREP='3281' ;;;
text.sas;14;WORK;COR3281_1;t1;WORK;COR3281_2;undefined;t1.COREP;t1;COR3281_1;COREP;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;WORK;COR3281_1;t1;WORK;COR3281_2;undefined;t1.F1;t1;COR3281_1;F1;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;WORK;COR3281_1;t1;WORK;COR3281_2;undefined;t1.CATEGO;t1;COR3281_1;CATEGO;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;WORK;COR3281_1;t1;WORK;COR3281_2;undefined;t1.CELDA;t1;COR3281_1;CELDA;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;WORK;COR3281_1;t1;WORK;COR3281_2;undefined;t1.IMPORTE;t1;COR3281_1;IMPORTE;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;WORK;COR3281_1;t1;WORK;COR3281_2;undefined;t2.COREP_2;t2;MAESTRO_CELDAS_COREP;COREP_2;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;WORK;COR3281_1;t1;WORK;COR3281_2;undefined;t2.ROW;t2;MAESTRO_CELDAS_COREP;ROW;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;WORK;COR3281_1;t1;WORK;COR3281_2;undefined;t2.COL;t2;MAESTRO_CELDAS_COREP;COL;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;BSCO;MAESTRO_CELDAS_COREP;t2;WORK;COR3281_2;undefined;t1.COREP;t1;COR3281_1;COREP;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;BSCO;MAESTRO_CELDAS_COREP;t2;WORK;COR3281_2;undefined;t1.F1;t1;COR3281_1;F1;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;BSCO;MAESTRO_CELDAS_COREP;t2;WORK;COR3281_2;undefined;t1.CATEGO;t1;COR3281_1;CATEGO;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;BSCO;MAESTRO_CELDAS_COREP;t2;WORK;COR3281_2;undefined;t1.CELDA;t1;COR3281_1;CELDA;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;BSCO;MAESTRO_CELDAS_COREP;t2;WORK;COR3281_2;undefined;t1.IMPORTE;t1;COR3281_1;IMPORTE;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;BSCO;MAESTRO_CELDAS_COREP;t2;WORK;COR3281_2;undefined;t2.COREP_2;t2;MAESTRO_CELDAS_COREP;COREP_2;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;BSCO;MAESTRO_CELDAS_COREP;t2;WORK;COR3281_2;undefined;t2.ROW;t2;MAESTRO_CELDAS_COREP;ROW;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;14;BSCO;MAESTRO_CELDAS_COREP;t2;WORK;COR3281_2;undefined;t2.COL;t2;MAESTRO_CELDAS_COREP;COL;;;ORDER BY t1.CATEGO, t2.COL, t2.ROW
text.sas;15;WORK;COR3281_2;t1;WORK;COR3281_3;undefined;t1.COREP;t1;COR3281_2;COREP;WHERE t1.COREP='3281' AND t1.COL IN ('C110') ;;;
text.sas;15;WORK;COR3281_2;t1;WORK;COR3281_3;undefined;t1.F1;t1;COR3281_2;F1;WHERE t1.COREP='3281' AND t1.COL IN ('C110') ;;;
text.sas;15;WORK;COR3281_2;t1;WORK;COR3281_3;undefined;t1.CATEGO;t1;COR3281_2;CATEGO;WHERE t1.COREP='3281' AND t1.COL IN ('C110') ;;;
text.sas;15;WORK;COR3281_2;t1;WORK;COR3281_3;undefined;t1.CELDA;t1;COR3281_2;CELDA;WHERE t1.COREP='3281' AND t1.COL IN ('C110') ;;;
text.sas;15;WORK;COR3281_2;t1;WORK;COR3281_3;undefined;t1.IMPORTE;t1;COR3281_2;IMPORTE;WHERE t1.COREP='3281' AND t1.COL IN ('C110') ;;;
text.sas;15;WORK;COR3281_2;t1;WORK;COR3281_3;undefined;t1.COREP_2;t1;COR3281_2;COREP_2;WHERE t1.COREP='3281' AND t1.COL IN ('C110') ;;;
text.sas;15;WORK;COR3281_2;t1;WORK;COR3281_3;undefined;t1.ROW;t1;COR3281_2;ROW;WHERE t1.COREP='3281' AND t1.COL IN ('C110') ;;;
text.sas;15;WORK;COR3281_2;t1;WORK;COR3281_3;undefined;t1.COL;t1;COR3281_2;COL;WHERE t1.COREP='3281' AND t1.COL IN ('C110') ;;;
text.sas;16;WORK;COR3281_2;t1;WORK;COR3281_4;undefined;t1.COREP;t1;COR3281_2;COREP;WHERE t1.COREP='3281' AND t1.COL IN ('C140') ;;;
text.sas;16;WORK;COR3281_2;t1;WORK;COR3281_4;undefined;t1.F1;t1;COR3281_2;F1;WHERE t1.COREP='3281' AND t1.COL IN ('C140') ;;;
text.sas;16;WORK;COR3281_2;t1;WORK;COR3281_4;undefined;t1.CATEGO;t1;COR3281_2;CATEGO;WHERE t1.COREP='3281' AND t1.COL IN ('C140') ;;;
text.sas;16;WORK;COR3281_2;t1;WORK;COR3281_4;undefined;t1.CELDA;t1;COR3281_2;CELDA;WHERE t1.COREP='3281' AND t1.COL IN ('C140') ;;;
text.sas;16;WORK;COR3281_2;t1;WORK;COR3281_4;undefined;t1.IMPORTE;t1;COR3281_2;IMPORTE;WHERE t1.COREP='3281' AND t1.COL IN ('C140') ;;;
text.sas;16;WORK;COR3281_2;t1;WORK;COR3281_4;undefined;t1.COREP_2;t1;COR3281_2;COREP_2;WHERE t1.COREP='3281' AND t1.COL IN ('C140') ;;;
text.sas;16;WORK;COR3281_2;t1;WORK;COR3281_4;undefined;t1.ROW;t1;COR3281_2;ROW;WHERE t1.COREP='3281' AND t1.COL IN ('C140') ;;;
text.sas;16;WORK;COR3281_2;t1;WORK;COR3281_4;undefined;t1.COL;t1;COR3281_2;COL;WHERE t1.COREP='3281' AND t1.COL IN ('C140') ;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;t1.COREP;t1;COR3281_2;COREP;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;t1.F1;t1;COR3281_2;F1;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;t1.CATEGO;t1;COR3281_2;CATEGO;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;t1.CELDA;t1;COR3281_2;CELDA;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;t1.IMPORTE;t1;COR3281_2;IMPORTE;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;t1.COREP_2;t1;COR3281_2;COREP_2;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;t1.ROW;t1;COR3281_2;ROW;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;t1.COL;t1;COR3281_2;COL;;;
text.sas;17;WORK;COR3281_2;t1;WORK;CRUCE3281_1;undefined;EAD;t2;COR3281_3;IMPORTE;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;t1.COREP;t1;COR3281_2;COREP;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;t1.F1;t1;COR3281_2;F1;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;t1.CATEGO;t1;COR3281_2;CATEGO;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;t1.CELDA;t1;COR3281_2;CELDA;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;t1.IMPORTE;t1;COR3281_2;IMPORTE;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;t1.COREP_2;t1;COR3281_2;COREP_2;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;t1.ROW;t1;COR3281_2;ROW;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;t1.COL;t1;COR3281_2;COL;;;
text.sas;17;WORK;COR3281_3;t2;WORK;CRUCE3281_1;undefined;EAD;t2;COR3281_3;IMPORTE;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.COREP;t1;CRUCE3281_1;COREP;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.F1;t1;CRUCE3281_1;F1;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.CATEGO;t1;CRUCE3281_1;CATEGO;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.CELDA;t1;CRUCE3281_1;CELDA;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.IMPORTE;t1;CRUCE3281_1;IMPORTE;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.COREP_2;t1;CRUCE3281_1;COREP_2;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.ROW;t1;CRUCE3281_1;ROW;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.COL;t1;CRUCE3281_1;COL;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;t1.EAD;t1;CRUCE3281_1;EAD;;;
text.sas;18;WORK;CRUCE3281_1;t1;WORK;CRUCE3281_2;undefined;EAD_EEFF;t2;COR3281_4;IMPORTE;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.COREP;t1;CRUCE3281_1;COREP;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.F1;t1;CRUCE3281_1;F1;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.CATEGO;t1;CRUCE3281_1;CATEGO;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.CELDA;t1;CRUCE3281_1;CELDA;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.IMPORTE;t1;CRUCE3281_1;IMPORTE;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.COREP_2;t1;CRUCE3281_1;COREP_2;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.ROW;t1;CRUCE3281_1;ROW;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.COL;t1;CRUCE3281_1;COL;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;t1.EAD;t1;CRUCE3281_1;EAD;;;
text.sas;18;WORK;COR3281_4;t2;WORK;CRUCE3281_2;undefined;EAD_EEFF;t2;COR3281_4;IMPORTE;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;t1.COREP;t1;CRUCE3281_2;COREP;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;t1.F1;t1;CRUCE3281_2;F1;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;t1.CATEGO;t1;CRUCE3281_2;CATEGO;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;t1.CELDA;t1;CRUCE3281_2;CELDA;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;t1.IMPORTE;t1;CRUCE3281_2;IMPORTE;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;t1.COREP_2;t1;CRUCE3281_2;COREP_2;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;t1.ROW;t1;CRUCE3281_2;ROW;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;t1.COL;t1;CRUCE3281_2;COL;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;EAD;undefined;CRUCE3281_2; case when t1.EAD=. then 0 else t1.EAD end ;;;
text.sas;19;WORK;CRUCE3281_2;t1;WORK;CRUCE3281_2_5;undefined;EAD_EEFF;undefined;CRUCE3281_2; case when t1.EAD_EEFF=. then 0 else t1.EAD_EEFF end ;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.COREP;t1;CRUCE3281_2_5;COREP;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.F1;t1;CRUCE3281_2_5;F1;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.CATEGO;t1;CRUCE3281_2_5;CATEGO;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.CELDA;t1;CRUCE3281_2_5;CELDA;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.IMPORTE;t1;CRUCE3281_2_5;IMPORTE;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.COREP_2;t1;CRUCE3281_2_5;COREP_2;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.ROW;t1;CRUCE3281_2_5;ROW;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.COL;t1;CRUCE3281_2_5;COL;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.EAD;t1;CRUCE3281_2_5;EAD;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;t1.EAD_EEFF;t1;CRUCE3281_2_5;EAD_EEFF;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;C_PDxEAD;undefined;CRUCE3281_2_5;case when COL='C010' then IMPORTE*EAD/10000 else 0 end ;;;
text.sas;20;WORK;CRUCE3281_2_5;t1;WORK;CRUCE3281_3;undefined;C_LGDxEAD;undefined;CRUCE3281_2_5;case when COL='C230' then IMPORTE*(EAD-EAD_EEFF)/100 else 0 end ;;;
