;;;
STEP;PROC;
OUTPUT TABLES;;;
NAME;ESQUEMA;ALIAS;N_COLUMNAS
TABLA3281_BS_TSB_PRE1_5;WORK;undefined;12
;;;
COLUMNAS;;;
NAME;ALIAS;ALIAS ORIGEN;TABLA ORIGEN
template;sss;t1;TABLA3281_BS_TSB_PRE1
data_extra;t1.data_extra;t1;TABLA3281_BS_TSB_PRE1
ROW;t1.ROW;t1;TABLA3281_BS_TSB_PRE1
case when C010=. then 0 else C010 end ;C010;undefined;TABLA3281_BS_TSB_PRE1
 case when C020=. then 0 else C020 end ;C020;undefined;TABLA3281_BS_TSB_PRE1
case when C030=. then 0 else C030 end ;C030;undefined;TABLA3281_BS_TSB_PRE1
 case when C040=. then 0 else C040 end ;C040;undefined;TABLA3281_BS_TSB_PRE1
 case when C070=. then 0 else C070 end ;C070;undefined;TABLA3281_BS_TSB_PRE1
C_PDxEAD;C_PDxEAD;undefined;TABLA3281_BS_TSB_PRE1
C_LGDxEAD;C_LGDxEAD;undefined;TABLA3281_BS_TSB_PRE1
C_LGDEFxEAD;C_LGDEFxEAD;undefined;TABLA3281_BS_TSB_PRE1
C_MxEAD;C_MxEAD;undefined;TABLA3281_BS_TSB_PRE1
;;;
ORIGENES;;;
NAME;ESQUEMA;ALIAS;
TABLA3281_BS_TSB_PRE1;WORK;t1;
;;;
;FILTROS;GROUPS;ORDERS
;NO FILTERS;NO GROUPINGS;NO SORTINGS
