FILE;STEP;ORIGEN;;;OUTPUT;;;COLUMNS;;;;TRANSFORMATIONS;;?
text_.sas;;ESQUEMA;NAME;ALIAS;ESQUEMA;NAME;ALIAS;ALIAS;ALIAS ORIGEN;T.ORIGEN;DATO/CALCULO;FILTRO;GROUP;ORDER
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;sss;t1;TABLA3281_BS_TSB_PRE1;template;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;t1.data_extra;t1;TABLA3281_BS_TSB_PRE1;data_extra;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;t1.ROW;t1;TABLA3281_BS_TSB_PRE1;ROW;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C010;undefined;TABLA3281_BS_TSB_PRE1;case when C010=. then 0 else C010 end ;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C020;undefined;TABLA3281_BS_TSB_PRE1; case when C020=. then 0 else C020 end ;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C030;undefined;TABLA3281_BS_TSB_PRE1;case when C030=. then 0 else C030 end ;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C040;undefined;TABLA3281_BS_TSB_PRE1; case when C040=. then 0 else C040 end ;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C070;undefined;TABLA3281_BS_TSB_PRE1; case when C070=. then 0 else C070 end ;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C_PDxEAD;undefined;TABLA3281_BS_TSB_PRE1;C_PDxEAD;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C_LGDxEAD;undefined;TABLA3281_BS_TSB_PRE1;C_LGDxEAD;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C_LGDEFxEAD;undefined;TABLA3281_BS_TSB_PRE1;C_LGDEFxEAD;;;
text_.sas;1;WORK;TABLA3281_BS_TSB_PRE1;t1;WORK;TABLA3281_BS_TSB_PRE1_5;undefined;C_MxEAD;undefined;TABLA3281_BS_TSB_PRE1;C_MxEAD;;;
